reactome_id,name,species
R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Homo sapiens
R-HSA-176187,Activation of ATR in response to replication stress,Homo sapiens
R-HSA-111447,Activation of BAD and translocation to mitochondria ,Homo sapiens
R-HSA-114452,Activation of BH3-only proteins,Homo sapiens
R-HSA-111446,Activation of BIM and translocation to mitochondria ,Homo sapiens
R-HSA-139910,Activation of BMF and translocation to mitochondria,Homo sapiens
R-HSA-174577,Activation of C3 and C5,Homo sapiens
R-HSA-451308,Activation of Ca-permeable Kainate Receptor,Homo sapiens
R-HSA-1296041,Activation of G protein gated Potassium channels,Homo sapiens
R-HSA-991365,Activation of GABAB receptors,Homo sapiens
R-HSA-5619507,Activation of HOX genes during differentiation,Homo sapiens
R-HSA-936964,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,Homo sapiens
R-HSA-1592389,Activation of Matrix Metalloproteinases,Homo sapiens
R-HSA-1169091,Activation of NF-kappaB in B cells,Homo sapiens
R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",Homo sapiens
R-HSA-442755,Activation of NMDA receptors and postsynaptic events,Homo sapiens
R-HSA-111448,Activation of NOXA and translocation to mitochondria,Homo sapiens
R-HSA-451307,Activation of Na-permeable kainate receptors,Homo sapiens
R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,Homo sapiens
R-HSA-139915,Activation of PUMA and translocation to mitochondria,Homo sapiens
R-HSA-428540,Activation of RAC1,Homo sapiens
R-HSA-9619229,Activation of RAC1 downstream of NMDARs,Homo sapiens
R-HSA-1169092,Activation of RAS in B cells,Homo sapiens
R-HSA-5635838,Activation of SMO,Homo sapiens
R-HSA-187015,Activation of TRKA receptors,Homo sapiens
R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Homo sapiens
R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,Homo sapiens
R-HSA-2426168,Activation of gene expression by SREBF (SREBP),Homo sapiens
R-HSA-451326,Activation of kainate receptors upon glutamate binding,Homo sapiens
R-HSA-450341,Activation of the AP-1 family of transcription factors,Homo sapiens
R-HSA-8866907,Activation of the TFAP2 (AP-2) family of transcription factors,Homo sapiens
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Homo sapiens
R-HSA-2485179,Activation of the phototransduction cascade,Homo sapiens
R-HSA-68962,Activation of the pre-replicative complex,Homo sapiens
R-HSA-75108,"Activation, myristolyation of BID and translocation to mitochondria",Homo sapiens
R-HSA-114294,"Activation, translocation and oligomerization of BAX",Homo sapiens
R-HSA-1482798,Acyl chain remodeling of CL,Homo sapiens
R-HSA-1482883,Acyl chain remodeling of DAG and TAG,Homo sapiens
R-HSA-1482788,Acyl chain remodelling of PC,Homo sapiens
R-HSA-1482839,Acyl chain remodelling of PE,Homo sapiens
R-HSA-1482925,Acyl chain remodelling of PG,Homo sapiens
R-HSA-1482922,Acyl chain remodelling of PI,Homo sapiens
R-HSA-1482801,Acyl chain remodelling of PS,Homo sapiens
R-HSA-1280218,Adaptive Immune System,Homo sapiens
R-HSA-417973,Adenosine P1 receptors,Homo sapiens
R-HSA-170660,Adenylate cyclase activating pathway,Homo sapiens
R-HSA-170670,Adenylate cyclase inhibitory pathway,Homo sapiens
R-HSA-418990,Adherens junctions interactions,Homo sapiens
R-HSA-392023,Adrenaline signalling through Alpha-2 adrenergic receptor,Homo sapiens
R-HSA-400042,"Adrenaline,noradrenaline inhibits insulin secretion",Homo sapiens
R-HSA-390696,Adrenoceptors,Homo sapiens
R-HSA-879415,Advanced glycosylation endproduct receptor signaling,Homo sapiens
R-HSA-5423646,Aflatoxin activation and detoxification,Homo sapiens
R-HSA-9646399,Aggrephagy,Homo sapiens
R-HSA-351143,Agmatine biosynthesis,Homo sapiens
R-HSA-8964540,Alanine metabolism,Homo sapiens
R-HSA-1462054,Alpha-defensins,Homo sapiens
R-HSA-389599,Alpha-oxidation of phytanate,Homo sapiens
R-HSA-9645460,Alpha-protein kinase 1 signaling pathway,Homo sapiens
R-HSA-173736,Alternative complement activation,Homo sapiens
R-HSA-140179,Amine Oxidase reactions,Homo sapiens
R-HSA-375280,Amine ligand-binding receptors,Homo sapiens
R-HSA-156587,Amino Acid conjugation,Homo sapiens
R-HSA-352230,Amino acid transport across the plasma membrane,Homo sapiens
R-HSA-9639288,Amino acids regulate mTORC1,Homo sapiens
R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Homo sapiens
R-HSA-141424,Amplification of signal from the kinetochores,Homo sapiens
R-HSA-977225,Amyloid fiber formation,Homo sapiens
R-HSA-2214320,Anchoring fibril formation,Homo sapiens
R-HSA-5620912,Anchoring of the basal body to the plasma membrane,Homo sapiens
R-HSA-193048,Androgen biosynthesis,Homo sapiens
R-HSA-2473224,Antagonism of Activin by Follistatin,Homo sapiens
R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,Homo sapiens
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Homo sapiens
R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Homo sapiens
R-HSA-1236975,Antigen processing-Cross presentation,Homo sapiens
R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,Homo sapiens
R-HSA-9639775,Antimicrobial action and antimicrobial resistance in Mtb,Homo sapiens
R-HSA-6803157,Antimicrobial peptides,Homo sapiens
R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,Homo sapiens
R-HSA-109581,Apoptosis,Homo sapiens
R-HSA-140342,Apoptosis induced DNA fragmentation,Homo sapiens
R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,Homo sapiens
R-HSA-111465,Apoptotic cleavage of cellular proteins,Homo sapiens
R-HSA-75153,Apoptotic execution phase,Homo sapiens
R-HSA-111471,Apoptotic factor-mediated response,Homo sapiens
R-HSA-445717,Aquaporin-mediated transport,Homo sapiens
R-HSA-426048,Arachidonate production from DAG,Homo sapiens
R-HSA-2142753,Arachidonic acid metabolism,Homo sapiens
R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Homo sapiens
R-HSA-8937144,Aryl hydrocarbon receptor signalling,Homo sapiens
R-HSA-446203,Asparagine N-linked glycosylation,Homo sapiens
R-HSA-8963693,Aspartate and asparagine metabolism,Homo sapiens
R-HSA-175474,Assembly Of The HIV Virion,Homo sapiens
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,Homo sapiens
R-HSA-168316,Assembly of Viral Components at the Budding Site,Homo sapiens
R-HSA-8963889,Assembly of active LPL and LIPC lipase complexes,Homo sapiens
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,Homo sapiens
R-HSA-68616,Assembly of the ORC complex at the origin of replication,Homo sapiens
R-HSA-9683439,Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),Homo sapiens
R-HSA-9694271,Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC),Homo sapiens
R-HSA-68867,Assembly of the pre-replicative complex,Homo sapiens
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,Homo sapiens
R-HSA-210455,Astrocytic Glutamate-Glutamine Uptake And Metabolism,Homo sapiens
R-HSA-4608870,Asymmetric localization of PCP proteins,Homo sapiens
R-HSA-9678110,Attachment and Entry,Homo sapiens
R-HSA-9694614,Attachment and Entry,Homo sapiens
R-HSA-162791,Attachment of GPI anchor to uPAR,Homo sapiens
R-HSA-3371568,Attenuation phase,Homo sapiens
R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,Homo sapiens
R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,Homo sapiens
R-HSA-177539,Autointegration results in viral DNA circles,Homo sapiens
R-HSA-9612973,Autophagy,Homo sapiens
R-HSA-422475,Axon guidance,Homo sapiens
R-HSA-193634,Axonal growth inhibition (RHOA activation),Homo sapiens
R-HSA-209563,Axonal growth stimulation,Homo sapiens
R-HSA-5250924,B-WICH complex positively regulates rRNA expression,Homo sapiens
R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,Homo sapiens
R-HSA-9024909,BDNF activates NTRK2 (TRKB) signaling,Homo sapiens
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Homo sapiens
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",Homo sapiens
R-HSA-73884,Base Excision Repair,Homo sapiens
R-HSA-73929,"Base-Excision Repair, AP Site Formation",Homo sapiens
R-HSA-210991,Basigin interactions,Homo sapiens
R-HSA-1461957,Beta defensins,Homo sapiens
R-HSA-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,Homo sapiens
R-HSA-77346,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Homo sapiens
R-HSA-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Homo sapiens
R-HSA-77310,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Homo sapiens
R-HSA-77285,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Homo sapiens
R-HSA-77348,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Homo sapiens
R-HSA-77305,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Homo sapiens
R-HSA-3858494,Beta-catenin independent WNT signaling,Homo sapiens
R-HSA-196299,Beta-catenin phosphorylation cascade,Homo sapiens
R-HSA-389887,Beta-oxidation of pristanoyl-CoA,Homo sapiens
R-HSA-390247,Beta-oxidation of very long chain fatty acids,Homo sapiens
R-HSA-425381,Bicarbonate transporters,Homo sapiens
R-HSA-194068,Bile acid and bile salt metabolism,Homo sapiens
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,Homo sapiens
R-HSA-173107,Binding and entry of HIV virion,Homo sapiens
R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,Homo sapiens
R-HSA-141333,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Homo sapiens
R-HSA-211859,Biological oxidations,Homo sapiens
R-HSA-2466712,"Biosynthesis of A2E, implicated in retinal degradation",Homo sapiens
R-HSA-9018676,Biosynthesis of D-series resolvins,Homo sapiens
R-HSA-9018677,Biosynthesis of DHA-derived SPMs,Homo sapiens
R-HSA-9026395,Biosynthesis of DHA-derived sulfido conjugates,Homo sapiens
R-HSA-9018683,Biosynthesis of DPA-derived SPMs,Homo sapiens
R-HSA-9025094,Biosynthesis of DPAn-3 SPMs,Homo sapiens
R-HSA-9026403,Biosynthesis of DPAn-3-derived 13-series resolvins,Homo sapiens
R-HSA-9026290,Biosynthesis of DPAn-3-derived maresins,Homo sapiens
R-HSA-9026286,Biosynthesis of DPAn-3-derived protectins and resolvins,Homo sapiens
R-HSA-9025106,Biosynthesis of DPAn-6 SPMs,Homo sapiens
R-HSA-9023661,Biosynthesis of E-series 18(R)-resolvins,Homo sapiens
R-HSA-9018896,Biosynthesis of E-series 18(S)-resolvins,Homo sapiens
R-HSA-9018679,Biosynthesis of EPA-derived SPMs,Homo sapiens
R-HSA-9020265,Biosynthesis of aspirin-triggered D-series resolvins,Homo sapiens
R-HSA-9027604,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,Homo sapiens
R-HSA-9026762,Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Homo sapiens
R-HSA-9027307,Biosynthesis of maresin-like SPMs,Homo sapiens
R-HSA-9018682,Biosynthesis of maresins,Homo sapiens
R-HSA-9026766,Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),Homo sapiens
R-HSA-9018681,Biosynthesis of protectins,Homo sapiens
R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),Homo sapiens
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",Homo sapiens
R-HSA-196780,Biotin transport and metabolism,Homo sapiens
R-HSA-9636467,Blockage of phagosome acidification,Homo sapiens
R-HSA-9033658,Blood group systems biosynthesis,Homo sapiens
R-HSA-70895,Branched-chain amino acid catabolism,Homo sapiens
R-HSA-352238,Breakdown of the nuclear lamina,Homo sapiens
R-HSA-168302,Budding,Homo sapiens
R-HSA-162588,Budding and maturation of HIV virion,Homo sapiens
R-HSA-450385,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,Homo sapiens
R-HSA-8851680,Butyrophilin (BTN) family interactions,Homo sapiens
R-HSA-5621481,C-type lectin receptors (CLRs),Homo sapiens
R-HSA-75102,C6 deamination of adenosine,Homo sapiens
R-HSA-5218900,CASP8 activity is inhibited,Homo sapiens
R-HSA-9662834,CD163 mediating an anti-inflammatory response,Homo sapiens
R-HSA-5621575,CD209 (DC-SIGN) signaling,Homo sapiens
R-HSA-5690714,CD22 mediated BCR regulation,Homo sapiens
R-HSA-389356,CD28 co-stimulation,Homo sapiens
R-HSA-389357,CD28 dependent PI3K/Akt signaling,Homo sapiens
R-HSA-389359,CD28 dependent Vav1 pathway,Homo sapiens
R-HSA-68689,CDC6 association with the ORC:origin complex,Homo sapiens
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,Homo sapiens
R-HSA-68827,CDT1 association with the CDC6:ORC:origin complex,Homo sapiens
R-HSA-447041,CHL1 interactions,Homo sapiens
R-HSA-5607763,CLEC7A (Dectin-1) induces NFAT activation,Homo sapiens
R-HSA-5607764,CLEC7A (Dectin-1) signaling,Homo sapiens
R-HSA-5660668,CLEC7A/inflammasome pathway,Homo sapiens
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,Homo sapiens
R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,Homo sapiens
R-HSA-6807878,COPI-mediated anterograde transport,Homo sapiens
R-HSA-204005,COPII-mediated vesicle transport,Homo sapiens
R-HSA-140180,COX reactions,Homo sapiens
R-HSA-199920,CREB phosphorylation,Homo sapiens
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Homo sapiens
R-HSA-442720,CREB1 phosphorylation through the activation of Adenylate Cyclase,Homo sapiens
R-HSA-442729,CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,Homo sapiens
R-HSA-8874211,CREB3 factors activate genes,Homo sapiens
R-HSA-399956,CRMPs in Sema3A signaling,Homo sapiens
R-HSA-2024101,CS/DS degradation,Homo sapiens
R-HSA-389513,CTLA4 inhibitory signaling,Homo sapiens
R-HSA-211999,CYP2E1 reactions,Homo sapiens
R-HSA-111996,Ca-dependent events,Homo sapiens
R-HSA-1296052,Ca2+ activated K+ channels,Homo sapiens
R-HSA-4086398,Ca2+ pathway,Homo sapiens
R-HSA-111997,CaM pathway,Homo sapiens
R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,Homo sapiens
R-HSA-2025928,Calcineurin activates NFAT,Homo sapiens
R-HSA-419812,Calcitonin-like ligand receptors,Homo sapiens
R-HSA-111933,Calmodulin induced events,Homo sapiens
R-HSA-901042,Calnexin/calreticulin cycle,Homo sapiens
R-HSA-111957,Cam-PDE 1 activation,Homo sapiens
R-HSA-72737,Cap-dependent Translation Initiation,Homo sapiens
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,Homo sapiens
R-HSA-5576891,Cardiac conduction,Homo sapiens
R-HSA-5694530,Cargo concentration in the ER,Homo sapiens
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,Homo sapiens
R-HSA-5620920,Cargo trafficking to the periciliary membrane,Homo sapiens
R-HSA-200425,Carnitine metabolism,Homo sapiens
R-HSA-71262,Carnitine synthesis,Homo sapiens
R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,Homo sapiens
R-HSA-418889,Caspase activation via Dependence Receptors in the absence of ligand,Homo sapiens
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,Homo sapiens
R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins,Homo sapiens
R-HSA-209905,Catecholamine biosynthesis,Homo sapiens
R-HSA-426117,Cation-coupled Chloride cotransporters,Homo sapiens
R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,Homo sapiens
R-HSA-1640170,Cell Cycle,Homo sapiens
R-HSA-69620,Cell Cycle Checkpoints,Homo sapiens
R-HSA-69278,"Cell Cycle, Mitotic",Homo sapiens
R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",Homo sapiens
R-HSA-446728,Cell junction organization,Homo sapiens
R-HSA-9664424,Cell recruitment (pro-inflammatory response),Homo sapiens
R-HSA-1222541,Cell redox homeostasis,Homo sapiens
R-HSA-202733,Cell surface interactions at the vascular wall,Homo sapiens
R-HSA-1500931,Cell-Cell communication,Homo sapiens
R-HSA-421270,Cell-cell junction organization,Homo sapiens
R-HSA-446353,Cell-extracellular matrix interactions,Homo sapiens
R-HSA-2559583,Cellular Senescence,Homo sapiens
R-HSA-189200,Cellular hexose transport,Homo sapiens
R-HSA-3371556,Cellular response to heat stress,Homo sapiens
R-HSA-1234174,Cellular response to hypoxia,Homo sapiens
R-HSA-8953897,Cellular responses to external stimuli,Homo sapiens
R-HSA-2262752,Cellular responses to stress,Homo sapiens
R-HSA-380287,Centrosome maturation,Homo sapiens
R-HSA-193681,Ceramide signalling,Homo sapiens
R-HSA-163765,ChREBP activates metabolic gene expression,Homo sapiens
R-HSA-9613829,Chaperone Mediated Autophagy,Homo sapiens
R-HSA-390466,Chaperonin-mediated protein folding,Homo sapiens
R-HSA-380108,Chemokine receptors bind chemokines,Homo sapiens
R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,Homo sapiens
R-HSA-191273,Cholesterol biosynthesis,Homo sapiens
R-HSA-6807047,Cholesterol biosynthesis via desmosterol,Homo sapiens
R-HSA-6807062,Cholesterol biosynthesis via lathosterol,Homo sapiens
R-HSA-6798163,Choline catabolism,Homo sapiens
R-HSA-2022870,Chondroitin sulfate biosynthesis,Homo sapiens
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,Homo sapiens
R-HSA-3247509,Chromatin modifying enzymes,Homo sapiens
R-HSA-4839726,Chromatin organization,Homo sapiens
R-HSA-73886,Chromosome Maintenance,Homo sapiens
R-HSA-8963888,Chylomicron assembly,Homo sapiens
R-HSA-8964026,Chylomicron clearance,Homo sapiens
R-HSA-8963901,Chylomicron remodeling,Homo sapiens
R-HSA-5617833,Cilium Assembly,Homo sapiens
R-HSA-400253,Circadian Clock,Homo sapiens
R-HSA-71403,Citric acid cycle (TCA cycle),Homo sapiens
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),Homo sapiens
R-HSA-373080,Class B/2 (Secretin family receptors),Homo sapiens
R-HSA-420499,Class C/3 (Metabotropic glutamate/pheromone receptors),Homo sapiens
R-HSA-983169,Class I MHC mediated antigen processing & presentation,Homo sapiens
R-HSA-9603798,Class I peroxisomal membrane protein import,Homo sapiens
R-HSA-1296053,Classical Kir channels,Homo sapiens
R-HSA-173623,Classical antibody-mediated complement activation,Homo sapiens
R-HSA-8856828,Clathrin-mediated endocytosis,Homo sapiens
R-HSA-110331,Cleavage of the damaged purine,Homo sapiens
R-HSA-110329,Cleavage of the damaged pyrimidine ,Homo sapiens
R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Homo sapiens
R-HSA-196783,Coenzyme A biosynthesis,Homo sapiens
R-HSA-2470946,Cohesin Loading onto Chromatin,Homo sapiens
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,Homo sapiens
R-HSA-8948216,Collagen chain trimerization,Homo sapiens
R-HSA-1442490,Collagen degradation,Homo sapiens
R-HSA-1474290,Collagen formation,Homo sapiens
R-HSA-140875,Common Pathway of Fibrin Clot Formation,Homo sapiens
R-HSA-8948700,Competing endogenous RNAs (ceRNAs) regulate PTEN translation,Homo sapiens
R-HSA-166658,Complement cascade,Homo sapiens
R-HSA-6799198,Complex I biogenesis,Homo sapiens
R-HSA-2514853,Condensation of Prometaphase Chromosomes,Homo sapiens
R-HSA-2299718,Condensation of Prophase Chromosomes,Homo sapiens
R-HSA-177135,Conjugation of benzoate with glycine,Homo sapiens
R-HSA-159424,Conjugation of carboxylic acids,Homo sapiens
R-HSA-177162,Conjugation of phenylacetate with glutamine,Homo sapiens
R-HSA-177128,Conjugation of salicylate with glycine,Homo sapiens
R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,Homo sapiens
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,Homo sapiens
R-HSA-5637810,Constitutive Signaling by EGFRvIII,Homo sapiens
R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,Homo sapiens
R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants,Homo sapiens
R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Homo sapiens
R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,Homo sapiens
R-HSA-2660826,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,Homo sapiens
R-HSA-9634285,Constitutive Signaling by Overexpressed ERBB2,Homo sapiens
R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,Homo sapiens
R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,Homo sapiens
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,Homo sapiens
R-HSA-388841,Costimulation by the CD28 family,Homo sapiens
R-HSA-71288,Creatine metabolism,Homo sapiens
R-HSA-166786,Creation of C4 and C2 activators,Homo sapiens
R-HSA-8949613,Cristae formation,Homo sapiens
R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),Homo sapiens
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),Homo sapiens
R-HSA-2243919,Crosslinking of collagen fibrils,Homo sapiens
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,Homo sapiens
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,Homo sapiens
R-HSA-69231,Cyclin D associated events in G1,Homo sapiens
R-HSA-69202,Cyclin E associated events during G1/S transition ,Homo sapiens
R-HSA-1614603,Cysteine formation from homocysteine,Homo sapiens
R-HSA-211897,Cytochrome P450 - arranged by substrate type,Homo sapiens
R-HSA-111461,Cytochrome c-mediated apoptotic response,Homo sapiens
R-HSA-1280215,Cytokine Signaling in Immune system,Homo sapiens
